outer_iteration,province_index_0based,province,global_household_call_number,field,old,new,absolute_error,scaled_eps,matches_128eps
1,30,新疆,31,Kt,35352199.6021162,35352199.6021162,0.0,0.0,True
1,30,新疆,31,Zt,0.0006624231201077291,0.0006624231201077291,0.0,0.0,True
1,30,新疆,31,GovInv,35352199.6021162,35352199.6021162,0.0,0.0,True
2,0,北京,32,rah,0.07993173548689111,0.07993173548689111,0.0,0.0,True
2,0,北京,32,rb,0.02,0.02,0.0,0.0,True
2,0,北京,32,tau,0.05,0.05,0.0,0.0,True
2,0,北京,32,w,11.23742634168987,11.23742634168987,0.0,0.0,True
2,0,北京,32,Tt,0.1,0.1,0.0,0.0,True
2,0,北京,32,rb_gap,0.07,0.07,0.0,0.0,True
2,0,北京,32,Yt,40914.71454737012,40914.71454737012,0.0,0.0,True
2,0,北京,32,Lt,2485119.9997324906,2485119.9997324906,0.0,0.0,True
2,0,北京,32,Kt,49367001.59459932,49367001.59459932,0.0,0.0,True
2,0,北京,32,Zt,0.0016341152925786636,0.0016341152925786636,0.0,0.0,True
2,0,北京,32,GovInv,49270438.3129602,49270438.3129602,0.0,0.0,True
2,1,天津,33,rah,0.07348694778018657,0.07348694778018657,0.0,0.0,True
2,1,天津,33,rb,0.02,0.02,0.0,0.0,True
2,1,天津,33,tau,0.05,0.05,0.0,0.0,True
2,1,天津,33,w,11.146602769307194,11.146602769307194,0.0,0.0,True
2,1,天津,33,Tt,0.1,0.1,0.0,0.0,True
2,1,天津,33,rb_gap,0.07,0.07,0.0,0.0,True
2,1,天津,33,Yt,16416.635594823827,16416.635594823827,0.0,0.0,True
2,1,天津,33,Lt,2520677.283555772,2520677.283555772,0.0,0.0,True
2,1,天津,33,Kt,51432692.438448064,51432692.438448064,0.0,0.0,True
2,1,天津,33,Zt,0.0006331796953290661,0.0006331796953290661,0.0,0.0,True
2,1,天津,33,GovInv,51336802.8150781,51336802.8150781,0.0,0.0,True
2,2,河北,34,rah,0.08665044342793835,0.08665044342793835,0.0,0.0,True
2,2,河北,34,rb,0.02,0.02,0.0,0.0,True
2,2,河北,34,tau,0.05,0.05,0.0,0.0,True
2,2,河北,34,w,11.138511713050608,11.138511713050608,0.0,0.0,True
2,2,河北,34,Tt,0.1,0.1,0.0,0.0,True
2,2,河北,34,rb_gap,0.07,0.07,0.0,0.0,True
2,2,河北,34,Yt,8194.783732377882,8194.783732377882,0.0,0.0,True
2,2,河北,34,Lt,2578678.1315924386,2578678.1315924386,0.0,0.0,True
2,2,河北,34,Kt,90452862.77359664,90452862.77359664,0.0,0.0,True
2,2,河北,34,Zt,0.00020325561576148244,0.00020325561576148244,0.0,0.0,True
2,2,河北,34,GovInv,90356776.0949341,90356776.0949341,0.0,0.0,True
2,3,山西,35,rah,0.08680743348666484,0.08680743348666484,0.0,0.0,True
2,3,山西,35,rb,0.02,0.02,0.0,0.0,True
2,3,山西,35,tau,0.05,0.05,0.0,0.0,True
2,3,山西,35,w,11.213392248545862,11.213392248545862,0.0,0.0,True
2,3,山西,35,Tt,0.1,0.1,0.0,0.0,True
2,3,山西,35,rb_gap,0.07,0.07,0.0,0.0,True
2,3,山西,35,Yt,14183.552064948035,14183.552064948035,0.0,0.0,True
2,3,山西,35,Lt,2566643.486941443,2566643.486941443,0.0,0.0,True
2,3,山西,35,Kt,37856863.89001002,37856863.89001002,0.0,0.0,True
2,3,山西,35,Zt,0.0006904139506587265,0.0006904139506587265,0.0,0.0,True
2,3,山西,35,GovInv,37758335.6649879,37758335.6649879,0.0,0.0,True
2,4,内蒙古,36,rah,0.07849388952014204,0.07849388952014204,0.0,0.0,True
2,4,内蒙古,36,rb,0.02,0.02,0.0,0.0,True
2,4,内蒙古,36,tau,0.05,0.05,0.0,0.0,True
2,4,内蒙古,36,w,10.850868181974974,10.850868181974974,0.0,0.0,True
2,4,内蒙古,36,Tt,0.1,0.1,0.0,0.0,True
2,4,内蒙古,36,rb_gap,0.07,0.07,0.0,0.0,True
