call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
324,False,False,100,100,0.26420316704579383,0.26420316704579383,True,True
325,True,True,14,14,1.2585583686330892e-08,1.2585583686330892e-08,True,True
326,True,True,14,14,3.965800132732511e-08,3.965800132732511e-08,True,True
327,False,False,100,100,0.040120847396886594,0.040120847396886594,True,True
328,False,False,100,100,0.04985859454762198,0.04985859454762198,True,True
329,True,True,14,14,5.445142114979262e-10,5.445142114979262e-10,True,True
330,True,True,13,13,1.5111714546378607e-08,1.5111714546378607e-08,True,True
331,True,True,13,13,1.6002347003052364e-08,1.6002347003052364e-08,True,True
332,True,True,14,14,2.774536156380236e-10,2.774536156380236e-10,True,True
333,False,False,100,100,0.002089640807443116,0.002089640807443116,True,True
334,True,True,13,13,7.02333529112309e-08,7.02333529112309e-08,True,True
335,True,True,13,13,5.4199689625278324e-08,5.4199689625278324e-08,True,True
336,True,True,26,26,2.6117330520492033e-11,2.6117330520492033e-11,True,True
337,True,True,14,14,2.6046955703407093e-09,2.6046955703407093e-09,True,True
338,True,True,13,13,8.377606430798323e-08,8.377606430798323e-08,True,True
339,True,True,27,27,4.210618120836784e-08,4.210618120836784e-08,True,True
340,True,True,15,15,5.471361363973415e-09,5.471361363973415e-09,True,True
341,True,True,15,15,3.081767729895546e-09,3.081767729895546e-09,True,True
342,True,True,14,14,8.470437684593435e-10,8.470437684593435e-10,True,True
343,True,True,27,27,3.23467475027428e-10,3.23467475027428e-10,True,True
344,True,True,58,58,5.664486657508405e-09,5.664486657508405e-09,True,True
345,True,True,14,14,8.652820682186757e-10,8.652820682186757e-10,True,True
346,True,True,17,17,3.264767944877178e-08,3.264767944877178e-08,True,True
347,True,True,18,18,8.04951660882125e-11,8.04951660882125e-11,True,True
348,True,True,15,15,1.679781647112577e-09,1.679781647112577e-09,True,True
349,True,True,14,14,1.3671122012226533e-09,1.3671122012226533e-09,True,True
350,True,True,16,16,3.3227287588033505e-10,3.3227287588033505e-10,True,True
351,True,True,14,14,3.419946548177677e-09,3.419946548177677e-09,True,True
352,True,True,14,14,1.1426961599170227e-09,1.1426961599170227e-09,True,True
353,False,False,100,100,0.002027720757052043,0.002027720757052043,True,True
354,True,True,14,14,6.230284732566815e-09,6.230284732566815e-09,True,True
355,False,False,100,100,0.04596801248455895,0.04596801248455895,True,True
356,True,True,14,14,1.237481384031014e-08,1.237481384031014e-08,True,True
357,True,True,14,14,3.909833967696841e-08,3.909833967696841e-08,True,True
358,False,False,100,100,0.00948574524521928,0.00948574524521928,True,True
359,False,False,100,100,0.12904151544152898,0.12904151544152898,True,True
360,True,True,14,14,5.424545257426416e-10,5.424545257426416e-10,True,True
361,True,True,13,13,1.50482302174737e-08,1.50482302174737e-08,True,True
362,True,True,13,13,1.603343147138503e-08,1.603343147138503e-08,True,True
363,True,True,14,14,2.740709881265957e-10,2.740709881265957e-10,True,True
364,True,True,91,91,1.0771425973388205e-09,1.0771425973388205e-09,True,True
365,True,True,13,13,6.841228206155847e-08,6.841228206155847e-08,True,True
366,True,True,13,13,5.474431485907871e-08,5.474431485907871e-08,True,True
367,True,True,26,26,2.609468197078968e-11,2.609468197078968e-11,True,True
368,True,True,14,14,2.5677779902366638e-09,2.5677779902366638e-09,True,True
369,True,True,13,13,8.341241830578383e-08,8.341241830578383e-08,True,True
370,True,True,27,27,4.176416590340182e-08,4.176416590340182e-08,True,True
371,True,True,15,15,7.366998566737948e-09,7.366998566737948e-09,True,True
372,True,True,15,15,3.082203381410409e-09,3.082203381410409e-09,True,True
373,True,True,14,14,8.464653422635138e-10,8.464653422635138e-10,True,True
